,title,location,price,area,rooms
318,                        Apartment Eendrachtstraat                            ,            1078 XZ Amsterdam (Scheldebuurt)        ,"                €2,800 per month            ",90 m²,3 rooms
319,                        Apartment Tolstraat                            ,            1073 SB Amsterdam (Zuid Pijp)        ,"                €2,400 per month            ",80 m²,3 rooms
320,                        Apartment Zieseniskade 12 2                            ,            1017 RS Amsterdam (De Weteringschans)        ,"                €3,000 per month            ",135 m²,4 rooms
321,                        Apartment Koningslaan 22 B                            ,            1075 AD Amsterdam (Willemspark)        ,"                €3,950 per month            ",93 m²,3 rooms
322,                        Apartment Stadionweg 140 I                            ,            1077 SX Amsterdam (Apollobuurt)        ,"                €3,000 per month            ",111 m²,4 rooms
323,                        Apartment Spuistraat                            ,            1012 VR Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €4,150 per month            ",154 m²,8 rooms
324,                        Apartment Schaepmanstraat 226                            ,            1051 JJ Amsterdam (Staatsliedenbuurt)        ,"                €2,400 per month            ",62 m²,3 rooms
325,                        Apartment Rozenstraat                            ,            1016 NT Amsterdam (Jordaan)        ,"                €3,500 per month            ",80 m²,4 rooms
326,                        Apartment Prinsengracht 701 2A                            ,            1017 JV Amsterdam (Grachtengordel-Zuid)        ,"                €2,050 per month            ",60 m²,2 rooms
327,                        Apartment Kleiburg                            ,"            1104 EA Amsterdam (Bijlmer Oost (E,G,K))        ","                €2,095 per month            ",132 m²,4 rooms
328,                        Apartment Kerkstraat 404                            ,            1017 JC Amsterdam (Grachtengordel-Zuid)        ,"                €10,000 per month            ",203 m²,7 rooms
329,                        Apartment Koningin Wilhelminaplein                            ,            1062 KS Amsterdam (Westlandgracht)        ,"                €1,875 per month            ",80 m²,3 rooms
330,                        Apartment Minervaplein                            ,            1077 TJ Amsterdam (Apollobuurt)        ,"                €2,750 per month            ",110 m²,3 rooms
331,                        Apartment Eerste Hugo de Grootstraat 39 1                            ,            1052 KN Amsterdam (Frederik Hendrikbuurt)        ,"                €1,500 per month            ",50 m²,2 rooms
332,                        Apartment Geschutswerf 63                            ,            1018 AW Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €3,500 per month            ",164 m²,2 rooms
333,                        Apartment Cornelis Anthoniszstraat 36 A                            ,            1071 VV Amsterdam (Museumkwartier)        ,"                €2,400 per month            ",67 m²,3 rooms
334,                        Apartment Valeriusstraat 9 II+III                            ,            1071 MB Amsterdam (Museumkwartier)        ,"                €3,200 per month            ",140 m²,5 rooms
335,                        Apartment Oudeschans 18 III                            ,            1011 LA Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,500 per month            ",100 m²,3 rooms
336,                        Apartment Carolina MacGillavrylaan                            ,            1098 XA Amsterdam (Middenmeer)        ,"                €3,000 per month            ",132 m²,4 rooms
337,                        Apartment Sarphatipark 62 HS                            ,            1073 EA Amsterdam (Nieuwe Pijp)        ,"                €3,950 per month            ",135 m²,4 rooms
338,                        Apartment Willem Frederik Hermansstraat 9                            ,            1011 DG Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,500 per month            ",86 m²,3 rooms
339,                        Apartment Weteringschans 12 D                            ,            1017 SG Amsterdam (De Weteringschans)        ,"                €3,250 per month            ",134 m²,4 rooms
340,                        Apartment IJburglaan                            ,            1087 BS Amsterdam (IJburg West)        ,"                €6,500 per month            ",400 m²,5 rooms
341,                        Apartment Minervaplein                            ,            1077 TR Amsterdam (Apollobuurt)        ,"                €2,850 per month            ",111 m²,3 rooms
342,                        Apartment Badhuiskade                            ,            1031 KV Amsterdam (Noordelijke IJ-oevers West)        ,"                €3,500 per month            ",125 m²,4 rooms
343,                        Apartment Paramaribostraat 156 1                            ,            1058 VR Amsterdam (Westindische Buurt)        ,"                €2,950 per month            ",102 m²,4 rooms
344,                        Apartment Groenburgwal 14 IV                            ,            1011 HV Amsterdam (Nieuwmarkt/Lastage)        ,"                €4,400 per month            ",189 m²,3 rooms
345,                        Apartment Kerkstraat 253 C                            ,            1017 GW Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",121 m²,4 rooms
346,                        Apartment Leidsekade 102 A                            ,            1017 PP Amsterdam (De Weteringschans)        ,"                €4,950 per month            ",153 m²,4 rooms
347,                        House Troelstralaan                            ,            1067 MX Amsterdam (Geuzenveld)        ,"                €2,600 per month            ",110 m²,4 rooms
348,                        Apartment Beemsterstraat 542 F2                            ,            1024 BV Amsterdam (Waterlandpleinbuurt)        ,"                €1,295 per month            ",83 m²,3 rooms
349,                        Apartment Leonardostraat 6 I                            ,            1077 EV Amsterdam (Apollobuurt)        ,"                €4,900 per month            ",185 m²,6 rooms
350,                        Apartment Damstraat 1 B                            ,            1012 JL Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,500 per month            ",80 m²,3 rooms
351,                        Apartment Gerard Doustraat                            ,            1072 VK Amsterdam (Oude Pijp)        ,"                €1,975 per month            ",67 m²,2 rooms
352,                        Apartment Dam                            ,            1012 JS Amsterdam (Burgwallen-Oude Zijde)        ,"                €5,500 per month            ",125 m²,3 rooms
353,                        Apartment Bloemgracht 122 BV                            ,            1015 TP Amsterdam (Jordaan)        ,"                €3,750 per month            ",119 m²,5 rooms
354,                        House Wierdestraat 8                            ,            1069 VW Amsterdam (De Punt)        ,"                €2,800 per month            ",114 m²,5 rooms
355,                        Apartment Emmalaan 19 C                            ,            1075 AT Amsterdam (Willemspark)        ,"                €3,650 per month            ",100 m²,3 rooms
356,                        Apartment Pieter Cornelisz. Hooftstraat 192                            ,            1071 CH Amsterdam (Museumkwartier)        ,"                €4,000 per month            ",95 m²,3 rooms
357,                        Apartment Kerkstraat 127 B                            ,            1017 GE Amsterdam (Grachtengordel-Zuid)        ,"                €2,400 per month            ",84 m²,3 rooms
358,                        Apartment Linnaeusparkweg 82 I                            ,            1098 EH Amsterdam (Middenmeer)        ,"                €2,900 per month            ",123 m²,4 rooms
359,                        Apartment Koningin Wilhelminaplein                            ,            1062 KS Amsterdam (Westlandgracht)        ,"                €2,150 per month            ",90 m²,3 rooms
360,                        Apartment Koningin Wilhelminaplein                            ,            1062 KS Amsterdam (Westlandgracht)        ,"                €2,050 per month            ",90 m²,3 rooms
361,                        House Ouderkerkerdijk                            ,            1096 CR Amsterdam (Omval/Overamstel)        ,"                €7,000 per month            ",200 m²,6 rooms
362,                        House Fred Petterbaan                            ,            1019 JT Amsterdam (Oostelijk Havengebied)        ,                Price on request            ,175 m²,5 rooms
363,                        House Weesperzijde                            ,            1091 EL Amsterdam (Weesperzijde)        ,"                €4,750 per month            ",200 m²,6 rooms
364,                        Apartment Tweede Hugo de Grootstraat                            ,            1052 LC Amsterdam (Frederik Hendrikbuurt)        ,"                €1,875 per month            ",52 m²,2 rooms
365,                        Apartment Tweede Hugo de Grootstraat                            ,            1052 LC Amsterdam (Frederik Hendrikbuurt)        ,"                €1,875 per month            ",53 m²,2 rooms
366,                        Apartment Bloemgracht                            ,            1015 TP Amsterdam (Jordaan)        ,"                €2,500 per month            ",80 m²,3 rooms
367,                        Apartment Pieter de Hoochstraat 34 A                            ,            1071 EG Amsterdam (Museumkwartier)        ,"                €8,500 per month            ",175 m²,5 rooms
368,                        Apartment Nieuwe Prinsengracht                            ,            1018 VT Amsterdam (Weesperbuurt/Plantage)        ,"                €2,300 per month            ",75 m²,2 rooms
369,                        Apartment Pieter Oosterhuisstraat                            ,            1087 HT Amsterdam (IJburg Zuid)        ,"                €2,350 per month            ",112 m²,3 rooms
370,                        Apartment Marco Polostraat                            ,            1057 WR Amsterdam (Hoofdweg e.o.)        ,"                €1,850 per month            ",55 m²,2 rooms
371,                        Apartment Evertsweertplantsoen 22                            ,            1069 RL Amsterdam (Osdorp-Midden)        ,"                €1,995 per month            ",60 m²,2 rooms
372,                        Apartment Minervaplein                            ,            1077 TR Amsterdam (Apollobuurt)        ,"                €2,850 per month            ",111 m²,3 rooms
373,                        House Domela Nieuwenhuisstraat                            ,            1069 SH Amsterdam (Osdorp-Midden)        ,"                €2,950 per month            ",144 m²,5 rooms
374,                        Apartment Bos en Lommerweg                            ,            1055 EA Amsterdam (Erasmuspark)        ,"                €1,800 per month            ",80 m²,3 rooms
375,                        House Zuideinde                            ,            1035 PM Amsterdam (Oostzanerwerf)        ,"                €2,750 per month            ",200 m²,7 rooms
376,                        Apartment Prinsengracht                            ,            1016 HP Amsterdam (Grachtengordel-West)        ,"                €6,000 per month            ",177 m²,4 rooms
377,                        Apartment Achtersteven                            ,            1034 VC Amsterdam (Banne Buiksloot)        ,"                €1,500 per month            ",80 m²,2 rooms
378,                        Apartment Badhuiskade                            ,            1031 KV Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,300 per month            ",80 m²,3 rooms
379,                        Apartment Noordermarkt 13 2                            ,            1015 MX Amsterdam (Jordaan)        ,"                €3,250 per month            ",122 m²,3 rooms
380,                        House Buikslotermeerdijk                            ,            1025 WH Amsterdam (Elzenhagen)        ,"                €3,100 per month            ",128 m²,7 rooms
381,                        Apartment Onstein                            ,            1082 KM Amsterdam (Buitenveldert-West)        ,"                €1,850 per month            ",85 m²,2 rooms
382,                        House Singel                            ,            1012 VC Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €6,250 per month            ",200 m²,7 rooms
383,                        Apartment Keizersstraat                            ,            1011 GD Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,500 per month            ",100 m²,3 rooms
384,                        Apartment Kinderdijkstraat 10 H                            ,            1079 GH Amsterdam (Scheldebuurt)        ,"                €2,150 per month            ",70 m²,3 rooms
385,                        Apartment Valeriusstraat                            ,            1075 ER Amsterdam (Willemspark)        ,"                €3,000 per month            ",78 m²,4 rooms
386,                        Apartment Koninginneweg                            ,            1075 CW Amsterdam (Willemspark)        ,"                €6,500 per month            ",217 m²,7 rooms
387,                        Apartment Gaasterlandstraat                            ,            1079 RH Amsterdam (Scheldebuurt)        ,"                €5,900 per month            ",138 m²,4 rooms
388,                        Apartment Huidekoperstraat                            ,            1017 ZM Amsterdam (De Weteringschans)        ,"                €2,100 per month            ",75 m²,2 rooms
389,                        Apartment Prinsengracht                            ,            1016 GX Amsterdam (Grachtengordel-West)        ,"                €3,750 per month            ",120 m²,3 rooms
390,                        Apartment Korte Leidsedwarsstraat                            ,            1017 RD Amsterdam (De Weteringschans)        ,"                €1,750 per month            ",60 m²,3 rooms
391,                        Apartment Singel                            ,            1015 AG Amsterdam (Grachtengordel-West)        ,"                €4,000 per month            ",108 m²,3 rooms
392,                        Apartment Brouwersgracht 180 A                            ,            1013 HC Amsterdam (Haarlemmerbuurt)        ,"                €7,500 per month            ",200 m²,4 rooms
393,                        Apartment Sumatrastraat                            ,            1094 NB Amsterdam (Indische Buurt West)        ,"                €2,250 per month            ",69 m²,3 rooms
394,                        Apartment Valeriusstraat 139 HS                            ,            1075 ET Amsterdam (Willemspark)        ,"                €6,000 per month            ",220 m²,7 rooms
395,                        Apartment Oudezijds Achterburgwal                            ,            1012 DX Amsterdam (Burgwallen-Oude Zijde)        ,"                €3,500 per month            ",224 m²,4 rooms
396,                        Apartment Tweede Helmersstraat 8 H                            ,            1054 CH Amsterdam (Helmersbuurt)        ,"                €2,985 per month            ",126 m²,3 rooms
397,                        Apartment Zwanenburgwal 294                            ,            1011 JH Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,500 per month            ",107 m²,4 rooms
398,                        Apartment Valkenburgerstraat                            ,            1011 MG Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,950 per month            ",162 m²,2 rooms
399,                        Apartment Marnixstraat                            ,            1016 TC Amsterdam (Jordaan)        ,"                €5,500 per month            ",143 m²,3 rooms
400,                        Apartment Singel                            ,            1012 WG Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,950 per month            ",110 m²,3 rooms
401,                        House Prinsengracht 264                            ,            1016 HH Amsterdam (Jordaan)        ,"                €9,500 per month            ",240 m²,7 rooms
402,                        Apartment De Lairessestraat 74 3*                            ,            1071 PG Amsterdam (Museumkwartier)        ,"                €4,000 per month            ",186 m²,7 rooms
403,                        Apartment Minervaplein                            ,            1077 TR Amsterdam (Apollobuurt)        ,"                €2,850 per month            ",111 m²,3 rooms
404,                        House Anna van den Vondelstraat 10                            ,            1054 GZ Amsterdam (Vondelbuurt)        ,"                €9,750 per month            ",350 m²,9 rooms
405,                        Apartment Sijlhoff                            ,            1082 EP Amsterdam (Buitenveldert-West)        ,"                €2,500 per month            ",120 m²,6 rooms
406,                        Apartment Keizersgracht 480 B                            ,            1017 EG Amsterdam (Grachtengordel-Zuid)        ,"                €1,995 per month            ",79 m²,2 rooms
407,                        Apartment Argonautenstraat                            ,            1076 KV Amsterdam (Stadionbuurt)        ,"                €3,100 per month            ",120 m²,4 rooms
408,                        Apartment Hemonystraat 1 2                            ,            1074 BK Amsterdam (Oude Pijp)        ,"                €3,000 per month            ",110 m²,4 rooms
409,                        Apartment Emmy Andriessestraat                            ,            1087 NE Amsterdam (IJburg Zuid)        ,"                €1,784 per month            ",114 m²,3 rooms
410,                        Apartment Prinsengracht 625 2                            ,            1016 HV Amsterdam (Grachtengordel-West)        ,"                €3,250 per month            ",120 m²,4 rooms
411,                        Apartment Willemsparkweg                            ,            1071 GN Amsterdam (Museumkwartier)        ,"                €5,400 per month            ",185 m²,6 rooms
412,                        Apartment Gerrit van der Veenstraat                            ,            1077 EH Amsterdam (Apollobuurt)        ,"                €4,400 per month            ",127 m²,5 rooms
413,                        Apartment Kerkstraat 132 A                            ,            1017 GP Amsterdam (Grachtengordel-Zuid)        ,"                €3,850 per month            ",129 m²,4 rooms
414,                        Apartment Waalstraat                            ,            1079 DR Amsterdam (Scheldebuurt)        ,"                €2,150 per month            ",75 m²,3 rooms
415,                        Apartment Minervalaan                            ,            1077 NL Amsterdam (Apollobuurt)        ,"                €4,950 per month            ",164 m²,6 rooms
416,                        Apartment Leeuwenwerf                            ,            1018 KA Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,450 per month            ",104 m²,4 rooms
417,                        House Moestuinlaan                            ,            1036 KD Amsterdam (Tuindorp Oostzaan)        ,"                €4,500 per month            ",200 m²,10 rooms
418,                        Apartment Herengracht                            ,            1015 BH Amsterdam (Grachtengordel-West)        ,"                €2,350 per month            ",75 m²,2 rooms
419,                        Apartment Papaverweg                            ,            1032 KH Amsterdam (Volewijck)        ,"                €1,275 per month            ",47 m²,2 rooms
420,                        Apartment Linnaeusstraat                            ,            1093 ED Amsterdam (Dapperbuurt)        ,"                €2,300 per month            ",63 m²,2 rooms
421,                        Apartment Van Breestraat 90 II                            ,            1071 ZS Amsterdam (Museumkwartier)        ,"                €4,500 per month            ",122 m²,7 rooms
422,                        Apartment Esplanade de Meer                            ,            1098 WN Amsterdam (Middenmeer)        ,"                €2,500 per month            ",96 m²,3 rooms
423,                        Apartment Raamgracht                            ,            1011 KH Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,700 per month            ",90 m²,2 rooms
424,                        Apartment NDSM-kade                            ,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,694 per month            ",89 m²,2 rooms
425,                        Apartment NDSM-kade                            ,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,568 per month            ",64 m²,2 rooms
426,                        Apartment NDSM-kade                            ,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,265 per month            ",63 m²,2 rooms
427,                        Apartment NDSM-kade                            ,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,487 per month            ",71 m²,2 rooms
428,                        Apartment Boeninlaan                            ,"            1102 TP Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,900 per month            ",80 m²,4 rooms
429,                        Apartment Plantage Middenlaan                            ,            1018 DE Amsterdam (Weesperbuurt/Plantage)        ,"                €3,250 per month            ",147 m²,4 rooms
430,                        Apartment Grasweg 168                            ,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,550 per month            ",62 m²,3 rooms
431,                        Apartment Mary van der Sluisstraat 284 *                            ,            1095 ME Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €2,750 per month            ",88 m²,3 rooms
432,                        Apartment Distelweg 243                            ,            1031 HD Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,683 per month            ",64 m²,3 rooms
433,                        Apartment Distelweg 237                            ,            1031 HD Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,672 per month            ",69 m²,3 rooms
434,                        Apartment Minervaplein                            ,            1077 TR Amsterdam (Apollobuurt)        ,"                €2,850 per month            ",111 m²,3 rooms
435,                        Apartment Houthavenweg                            ,            1014 ZA Amsterdam (Houthavens)        ,"                €1,688 per month            ",60 m²,1 room
436,                        Apartment Haparandaweg                            ,            1013 BD Amsterdam (Houthavens)        ,"                €1,328 per month            ",43 m²,1 room
437,                        Apartment Groenburgwal                            ,            1011 HX Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,900 per month            ",70 m²,2 rooms
438,                        Apartment Prinsengracht                            ,            1016 GX Amsterdam (Grachtengordel-West)        ,"                €3,250 per month            ",92 m²,3 rooms
439,                        House Keizersgracht 786                            ,            1017 EC Amsterdam (Grachtengordel-Zuid)        ,"                €13,000 per month            ",450 m²,12 rooms
440,                        Apartment Minervalaan 84 I                            ,            1077 PK Amsterdam (Apollobuurt)        ,"                €4,250 per month            ",140 m²,4 rooms
441,                        Apartment Lijnbaansgracht                            ,            1016 VX Amsterdam (Jordaan)        ,"                €7,500 per month            ",178 m²,2 rooms
442,                        Apartment Grasweg 148                            ,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,550 per month            ",69 m²,3 rooms
443,                        Apartment Grasweg 122                            ,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,747 per month            ",90 m²,2 rooms
444,                        House Adelaarsweg 7                            ,            1021 BM Amsterdam (IJplein/Vogelbuurt)        ,"                €3,500 per month            ",180 m²,6 rooms
445,                        Apartment Singel                            ,            1015 AD Amsterdam (Grachtengordel-West)        ,"                €2,950 per month            ",114 m²,3 rooms
446,                        Apartment Ruysdaelkade 197 2                            ,            1072 AV Amsterdam (Nieuwe Pijp)        ,"                €1,865 per month            ",58 m²,3 rooms
447,                        Apartment Willem Parelstraat                            ,            1018 KZ Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,850 per month            ",84 m²,3 rooms
448,                        House Amstel 49                            ,            1011 PW Amsterdam (Nieuwmarkt/Lastage)        ,"                €5,500 per month            ",125 m²,4 rooms
449,                        Apartment Keizersgracht 385 B                            ,            1016 EJ Amsterdam (Grachtengordel-West)        ,"                €9,750 per month            ",300 m²,5 rooms
450,                        Apartment Aalsmeerweg 37 H                            ,            1059 AB Amsterdam (Hoofddorppleinbuurt)        ,"                €3,000 per month            ",90 m²,4 rooms
451,                        Apartment Praterlaan                            ,            1098 WR Amsterdam (Middenmeer)        ,"                €1,750 per month            ",70 m²,4 rooms
452,                        Studio Wibautstraat 150                            ,            1091 GR Amsterdam (Weesperzijde)        ,"                €3,250 per month            ",40 m²,1 room
453,                        Apartment Grasweg 278                            ,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,446 per month            ",62 m²,3 rooms
454,                        Apartment Kalverstraat                            ,            1012 PH Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,750 per month            ",110 m²,4 rooms
455,                        Apartment Peelstraat 44                            ,            1079 RN Amsterdam (Scheldebuurt)        ,"                €1,760 per month            ",92 m²,3 rooms
456,                        Apartment Bos en Lommerplantsoen                            ,            1055 AA Amsterdam (De Kolenkit)        ,"                €4,500 per month            ",50 m²,2 rooms
457,                        House Leliegracht                            ,            1015 DH Amsterdam (Grachtengordel-West)        ,"                €3,500 per month            ",118 m²,4 rooms
458,                        Apartment Burgemeester Cramergracht 139                            ,            1064 AK Amsterdam (Slotermeer-Zuidwest)        ,"                €1,400 per month            ",65 m²,2 rooms
459,                        Apartment Cornelis Vermuydenstraat 39                            ,            1018 RN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,663 per month            ",74 m²,3 rooms
460,                        Apartment Grasweg 124                            ,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,154 per month            ",106 m²,3 rooms
461,                        Apartment Grasweg 344                            ,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,773 per month            ",74 m²,3 rooms
462,                        Apartment Grasweg 138                            ,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,540 per month            ",69 m²,3 rooms
463,                        Apartment Grasweg 292                            ,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,447 per month            ",63 m²,3 rooms
464,                        Apartment Grasweg 152                            ,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,367 per month            ",62 m²,3 rooms
465,                        Apartment Minervaplein                            ,            1077 TR Amsterdam (Apollobuurt)        ,"                €2,850 per month            ",111 m²,3 rooms
466,                        Apartment Albert Cuypstraat 143 3                            ,            1072 CS Amsterdam (Oude Pijp)        ,"                €3,500 per month            ",53 m²,2 rooms
467,                        Apartment Linnaeusstraat                            ,            1092 CK Amsterdam (Oosterparkbuurt)        ,"                €3,475 per month            ",153 m²,5 rooms
468,                        Studio August Allebéplein                            ,            1062 AC Amsterdam (Overtoomse Veld)        ,                €673 per month            ,30 m²,1 room
469,                        Apartment Prinsengracht                            ,            1016 GV Amsterdam (Grachtengordel-West)        ,"                €4,500 per month            ",100 m²,3 rooms
470,                        Apartment Teilingen                            ,            1082 JR Amsterdam (Buitenveldert-West)        ,"                €2,750 per month            ",130 m²,4 rooms
471,                        Apartment Teilingen                            ,            1082 JR Amsterdam (Buitenveldert-West)        ,"                €2,450 per month            ",130 m²,3 rooms
472,                        Apartment NDSM-kade                            ,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,654 per month            ",129 m²,4 rooms
473,                        Apartment Stromarkt                            ,            1012 SW Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,350 per month            ",65 m²,2 rooms
474,                        Apartment Beulingstraat                            ,            1017 BA Amsterdam (Grachtengordel-Zuid)        ,"                €3,300 per month            ",120 m²,3 rooms
475,                        Apartment Voorsteven 92                            ,            1034 SP Amsterdam (Banne Buiksloot)        ,"                €2,650 per month            ",95 m²,4 rooms
476,                        Apartment Javakade                            ,            1019 RV Amsterdam (Oostelijk Havengebied)        ,"                €2,250 per month            ",114 m²,3 rooms
477,                        Apartment Stadionweg                            ,            1077 ST Amsterdam (Apollobuurt)        ,"                €2,700 per month            ",120 m²,3 rooms
478,                        Apartment John Blankensteinstraat                            ,            1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €3,400 per month            ",105 m²,5 rooms
479,                        Apartment Wolbrantskerkweg                            ,            1069 DA Amsterdam (Osdorp-Midden)        ,"                €2,200 per month            ",132 m²,5 rooms
480,                        Studio Elizabeth Cady Stantonplein                            ,"            1102 BL Amsterdam (Bijlmer Centrum (D,F,H))        ",                €655 per month            ,30 m²,1 room
481,                        Apartment Tasmanstraat 3                            ,            1013 PW Amsterdam (Houthavens)        ,"                €2,150 per month            ",100 m²,4 rooms
482,                        Apartment Koningin Wilhelminaplein                            ,            1062 KS Amsterdam (Westlandgracht)        ,"                €2,250 per month            ",90 m²,3 rooms
483,                        Apartment IJdok                            ,            1013 MM Amsterdam (Haarlemmerbuurt)        ,"                €2,550 per month            ",55 m²,2 rooms
484,                        Apartment Amstelveenseweg                            ,            1075 XL Amsterdam (Schinkelbuurt)        ,"                €2,450 per month            ",70 m²,3 rooms
485,                        Apartment Koningin Wilhelminaplein                            ,            1062 KS Amsterdam (Westlandgracht)        ,"                €2,450 per month            ",105 m²,4 rooms
486,                        Apartment Groenhoven 210                            ,"            1103 LD Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,450 per month            ",53 m²,2 rooms
487,                        Apartment Marieken van Nimwegenstraat 20 2                            ,            1055 BL Amsterdam (Erasmuspark)        ,"                €1,750 per month            ",53 m²,3 rooms
488,                        Apartment President Kennedylaan 32 1                            ,            1079 ND Amsterdam (Rijnbuurt)        ,"                €2,100 per month            ",75 m²,4 rooms
489,                        Apartment Helmholtzstraat 52 3                            ,            1098 LK Amsterdam (Middenmeer)        ,"                €1,850 per month            ",90 m²,3 rooms
490,                        Apartment Buitendraaierij 51                            ,            1021 NM Amsterdam (IJplein/Vogelbuurt)        ,"                €1,525 per month            ",46 m²,2 rooms
491,                        Apartment Olympiaweg 64 2                            ,            1076 XC Amsterdam (Stadionbuurt)        ,"                €1,650 per month            ",49 m²,2 rooms
492,                        Apartment Plantage Kerklaan 22 III+IV                            ,            1018 TB Amsterdam (Weesperbuurt/Plantage)        ,"                €2,500 per month            ",120 m²,3 rooms
493,                        Apartment Ladogameerhof 270                            ,            1060 RG Amsterdam (Middelveldsche Akerpolder)        ,"                €1,700 per month            ",86 m²,3 rooms
494,                        Apartment Vechtstraat                            ,            1078 RE Amsterdam (IJselbuurt)        ,"                €1,925 per month            ",62 m²,3 rooms
495,                        Apartment Henrick de Keijserplein 27 E                            ,            1073 SW Amsterdam (Nieuwe Pijp)        ,"                €2,400 per month            ",86 m²,3 rooms
496,                        Apartment Minervaplein                            ,            1077 TR Amsterdam (Apollobuurt)        ,"                €2,850 per month            ",111 m²,3 rooms
497,                        Apartment Willem de Zwijgerlaan                            ,            1056 JV Amsterdam (Geuzenbuurt)        ,"                €1,550 per month            ",50 m²,2 rooms
498,                        Apartment Lutmastraat 39 2                            ,            1072 JN Amsterdam (Nieuwe Pijp)        ,"                €2,250 per month            ",61 m²,3 rooms
499,                        Apartment Kinkerstraat 386 I                            ,            1053 GJ Amsterdam (Van Lennepbuurt)        ,"                €1,600 per month            ",40 m²,3 rooms
500,                        Apartment Westlandgracht                            ,            1059 TP Amsterdam (Hoofddorppleinbuurt)        ,"                €2,350 per month            ",55 m²,3 rooms
501,                        Apartment Badhuiskade 187                            ,            1031 KV Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,900 per month            ",50 m²,1 room
502,                        Apartment Kerkstraat 322 N                            ,            1017 HC Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",100 m²,3 rooms
503,                        Apartment Ruys de Beerenbrouckstraat 91                            ,            1067 BN Amsterdam (Geuzenveld)        ,"                €1,200 per month            ",60 m²,2 rooms
504,                        Apartment Rietwijkerstraat 89 1                            ,            1059 VX Amsterdam (Hoofddorppleinbuurt)        ,"                €1,750 per month            ",60 m²,2 rooms
505,                        Apartment Albrecht Dürerstraat 29 2                            ,            1077 LV Amsterdam (Apollobuurt)        ,"                €1,750 per month            ",70 m²,2 rooms
506,                        Apartment Swammerdamstraat 17 3                            ,            1091 RP Amsterdam (Weesperzijde)        ,"                €1,650 per month            ",72 m²,2 rooms
507,                        Apartment Nieuwe Leliestraat 176 D                            ,            1015 HG Amsterdam (Jordaan)        ,"                €1,750 per month            ",45 m²,2 rooms
508,                        Apartment Molukkenstraat 563                            ,            1095 BJ Amsterdam (Indische Buurt Oost)        ,"                €1,900 per month            ",62 m²,3 rooms
509,                        Apartment Van Ostadestraat 57 I                            ,            1072 SN Amsterdam (Nieuwe Pijp)        ,"                €2,250 per month            ",87 m²,3 rooms
510,                        Apartment Leidsestraat                            ,            1017 NX Amsterdam (De Weteringschans)        ,"                €1,650 per month            ",62 m²,3 rooms
511,                        Apartment Anne Frankstraat 79 IV                            ,            1018 DM Amsterdam (Weesperbuurt/Plantage)        ,"                €2,500 per month            ",86 m²,3 rooms
512,                        Apartment Goudsbloemstraat 183 III                            ,            1015 JN Amsterdam (Jordaan)        ,"                €1,950 per month            ",60 m²,3 rooms
513,                        Apartment De Lierhof 55                            ,            1059 WC Amsterdam (Westlandgracht)        ,"                €2,250 per month            ",90 m²,3 rooms
