,title,location,price,area,rooms
209,                        House Stade de Colombes                            ,            1098 VS Amsterdam (Middenmeer)        ,"                €3,500 per month            ",232 m²,7 rooms
210,                        Apartment KNSM-laan                            ,            1019 LH Amsterdam (Oostelijk Havengebied)        ,"                €2,500 per month            ",107 m²,3 rooms
211,                        Apartment Bosboom Toussaintstraat                            ,            1054 AT Amsterdam (Helmersbuurt)        ,"                €4,750 per month            ",155 m²,5 rooms
212,                        Apartment Zeeburgerkade                            ,            1019 VK Amsterdam (Oostelijk Havengebied)        ,"                €2,250 per month            ",101 m²,4 rooms
213,                        Apartment Amstelveenseweg 162 C                            ,            1075 XN Amsterdam (Schinkelbuurt)        ,"                €3,000 per month            ",120 m²,3 rooms
214,                        Apartment De Boelelaan                            ,            1082 RD Amsterdam (Buitenveldert-West)        ,"                €2,350 per month            ",85 m²,3 rooms
215,                        Apartment Pienemanstraat                            ,            1072 KE Amsterdam (Nieuwe Pijp)        ,"                €2,450 per month            ",85 m²,3 rooms
216,                        Apartment Rustenburgerstraat                            ,            1073 EW Amsterdam (Nieuwe Pijp)        ,"                €1,950 per month            ",50 m²,2 rooms
217,                        Apartment Minervaplein                            ,            1077 TR Amsterdam (Apollobuurt)        ,"                €2,850 per month            ",111 m²,3 rooms
218,                        Apartment Zocherstraat 59 II*                            ,            1054 LT Amsterdam (Overtoomse Sluis)        ,"                €2,200 per month            ",85 m²,3 rooms
219,                        Apartment Merckenburg 12                            ,            1082 BT Amsterdam (Buitenveldert-West)        ,"                €2,850 per month            ",74 m²,4 rooms
220,                        Apartment Jacob van Lennepkade 65 3                            ,            1054 ZH Amsterdam (Helmersbuurt)        ,"                €3,300 per month            ",127 m²,4 rooms
221,                        Apartment Veerstraat 51 4                            ,            1075 SN Amsterdam (Schinkelbuurt)        ,"                €2,350 per month            ",70 m²,2 rooms
222,                        Apartment Herengracht 268 II                            ,            1016 BW Amsterdam (Grachtengordel-West)        ,"                €2,495 per month            ",70 m²,3 rooms
223,                        Apartment Overtoom                            ,            1054 JM Amsterdam (Overtoomse Sluis)        ,"                €2,500 per month            ",100 m²,3 rooms
224,                        Apartment Rosy Wertheimstraat 95                            ,            1082 MZ Amsterdam (Zuidas)        ,"                €2,550 per month            ",72 m²,2 rooms
225,                        Apartment Tweede van Swindenstraat                            ,            1093 XA Amsterdam (Dapperbuurt)        ,"                €1,550 per month            ",42 m²,2 rooms
226,                        Apartment Amstelveenseweg                            ,            1075 XR Amsterdam (Schinkelbuurt)        ,"                €3,000 per month            ",92 m²,4 rooms
227,                        Apartment Bestevâerstraat                            ,            1056 HN Amsterdam (Geuzenbuurt)        ,"                €1,900 per month            ",77 m²,3 rooms
228,                        Apartment Nassaukade                            ,            1052 CJ Amsterdam (Staatsliedenbuurt)        ,"                €2,975 per month            ",128 m²,4 rooms
